Star Trek | Action, Adventure, Sci-Fi | 2h 7min | J.J. Abrams | Chris Pine, Zachary Quinto, Simon Pegg
Star Trek: The Motion Picture | Adventure, Mystery, Sci-Fi | 2h 12min | Robert Wise | Gene Roddenberry, Harold Livingston
Star Trek Beyond | Action, Adventure, Sci-Fi | 2h 2min | Justin Lin | Chris Pine, Zachary Quinto, Karl Urban
Star Trek VI: The Undiscovered Country | Action, Adventure, Sci-Fi | 1h 50min | Nicholas Meyer | Gene Roddenberry, Leonard Nimoy
Star Trek Into Darkness | Action, Adventure, Sci-Fi | 2h 12min | J.J. Abrams | Chris Pine, Zachary Quinto, Zoe Saldana
Star Trek: Nemesis | Action, Adventure, Sci-Fi | 1h 56min | Stuart Baird | Gene Roddenberry, John Logan
Star Trek II: The Wrath of Khan | Action, Adventure, Sci-Fi | 1h 53min | Nicholas Meyer | Gene Roddenberry, Harve Bennett
Star Trek: Insurrection | Action, Adventure, Sci-Fi | 1h 43min | Jonathan Frakes | Gene Roddenberry, Rick Berman
Star Trek: First Contact | Action, Adventure, Drama | 1h 51min | Jonathan Frakes | Gene Roddenberry, Rick Berman
Star Trek: Generations | Action, Adventure, Mystery | 1h 58min | David Carson | Gene Roddenberry, Rick Berman
Star Trek IV: The Voyage Home | Action, Adventure, Comedy | 1h 59min | Leonard Nimoy | Gene Roddenberry, Leonard Nimoy
Star Trek: First Frontier | Sci-Fi | 1h 25min | Kenneth Smith | Robert Pralgo, Tara Ochs, Mark Ashworth
Star Trek III: The Search for Spock | Action, Adventure, Sci-Fi | 1h 45min | Leonard Nimoy | Gene Roddenberry, Harve Bennett
Star Trek V: The Final Frontier | Action, Adventure, Fantasy | 1h 47min | William Shatner | Gene Roddenberry, William Shatner
Star Trek: Horizon | Action, Adventure, Sci-Fi | 1h 42min | Tommy Kraft | Tommy Kraft, Gene Roddenberry
Star Trek: Captain Pike | Action, Adventure, Sci-Fi | 45min | Todd Shawn | Gene Roddenberry, Todd Shawn
Star Trek III: Redemption | Animation, Sci-Fi | 4h 12min | Brandon M. Bridges | Majel Barrett, Brandon M. Bridges, Dennis Gard Robb
Star Trek II: Retribution | Animation, Sci-Fi | 3h 17min | Brandon M. Bridges | Majel Barrett, Brandon M. Bridges, Dennis Gard Robb
Star Trek: Enterprise - In a Time of War | Documentary | 1h 30min | Roger Lay Jr. | Scott Bakula, Rick Berman, John Billingsley
Star Trek: Temporal Anomaly | Action, Adventure, Sci-Fi | 1h | Samuel Cockings | Marcus Churchill, Kilian McIntosh, Chris Burdett
Star Trek: The Final Darkness | Sci-Fi | 1h 25min | George Kayaian | Michael J. Arbouet, Helen Kayaian, Keith Dallas
Star Trek I: Specter of the Past | Animation, Sci-Fi | 3h 9min | Brandon M. Bridges | Brandon M. Bridges, Dennis Gard Robb, Scott Fack
Star Trek World Tour |  |  | Winrich Kolbe | John de Lancie, Owen de Lancie, Steve Richards
Star Trek: The Infinite Chain | Sci-Fi | 1h 48min | George Kayaian | Helen Kayaian, Roland Marton, Joseph Marenus
What We Left Behind: Looking Back at Deep Space Nine | Documentary, Sci-Fi | 1h 56min | Ira Steven Behr, David Zappone | Max Grodénchik, Andrew Robinson, Armin Shimerman
Star Trek: Dark Horizon | Sci-Fi | 1h 29min | Tom Jones | Marian Hope, Gene Roddenberry
Star Trek: The Paradise Makers | Animation, Adventure, Sci-Fi | 2h 13min | Gaston Huckabay | Glen Averoigne, Robin Bernier, Wes Chambers
Star Trek: Enterprise - Uncharted Territory | Documentary | 1h 30min | Roger Lay Jr. | Scott Bakula, Rick Berman, John Billingsley
Star Trek: Inside the Roddenberry Vault | Documentary | 3h | Roger Lay Jr. | Stanley Adams, Mark A. Altman, Richard Arnold
